"company name","Name of owner","Street","City","District","Tel.","homepage","Email","page_url"
"Ksiensik Theo Ing.grad. Ing.Büro  ","","Oberkasseler Str. 125 A","Düsseldorf","Oberkassel","","","","https://www.dasoertliche.de/?id=0184035115856329877721&recuid=QFYOKAVR5M57EGPEUADZIS65QS5TRBBIY6ALAB6GA7SU5UUCAI&action=58&pagePos=9&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=201&hitno=22&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Meuser Hans Dipl.-Ing. Ingenieurbüro  ","","Stoffeler Damm 106","Düsseldorf","Bilk","","","","https://www.dasoertliche.de/?id=0184063296265329877721&recuid=74A6YD2E5BGJU5EMRB4Z2J5M7LJQXERATVYAALGRPTKT6OYC&action=58&pagePos=10&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=226&hitno=24&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Meuser Hans Dipl.-Ing. Ingenieurbüro  ","","Stoffeler Damm 106","Düsseldorf","Bilk","(02 11) 58 33 50 51","","","https://www.dasoertliche.de/?id=0184032989571329877721&recuid=O2OXBBWYMHIBH2AFD3KX7PZQONLIEDVJAH4ZZYQRWJQ6RJYC&action=58&pagePos=10&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=226&hitno=23&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Meinsma MTM Ingenieure GmbH Ingenieurbüro  ","","Jürgensplatz 38","Düsseldorf","Unterbilk","(02 11) 56 62 27 71","www.mtm-ingenieure.de","","https://www.dasoertliche.de/?id=0184052739282393370086&recuid=YNFHMM2YOAD2MI5NTANN2EHHY34XBYI52ZGEW65HBOFGG4AC&action=58&pagePos=10&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=226&hitno=22&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"PRO SERVICE Industriedienst- und Ingenieurleistungen GmbH  ","","Dreifaltigkeitsstr. 19 A","Düsseldorf","Gerresheim","(02 11) 2 91 03-90","www.proman-gmbh.de","","https://www.dasoertliche.de/?id=0184032980136389309238&recuid=YUZQNFU4SZRZO7HFTMONEDE6YCCXL33ETLF5K6GDK6UP6AQ&action=58&pagePos=11&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=251&hitno=24&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Pontos Analytics GmbH  ","","Merowingerplatz 1","Düsseldorf","40225 Düsseldorf","(02 11) 91 19 33 46","www.pontosanalytics.com","","https://www.dasoertliche.de/?id=0184082968315392938153&recuid=PDHCDXKEJ2PBPIAMGWSQFGLDPVGM4J4WKL347QAFQBQNIKG2ZUBA&action=58&pagePos=11&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=251&hitno=23&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Schäfer Joachim Ingenieurbüro  ","","Quirinstr. 20","Düsseldorf","Oberkassel","(02 11) 57 81 16","","","https://www.dasoertliche.de/?id=0184032990934329877721&recuid=KIGQE3UAYZPDCZNW3P767G5AK6E7Z6P3XJJ2HOFRZOLGQAQ&action=58&pagePos=12&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=276&hitno=24&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"SakostaCAU GmbH Ingenieurdienstleistungen  ","","Liststr. 49","Düsseldorf","Düsseltal","(02 11) 17 18 31-0","www.sakostacau.de","","https://www.dasoertliche.de/?id=0184064188266332454969&recuid=7I3K7VMPBZSZWXMV3RCOIIU376IDLJK3T72KASHAFX3MAAQ&action=58&pagePos=12&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=276&hitno=23&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Sachverständige KFZ Abielau - Schmitt u. Partner  ","","Niersstr. 5","Düsseldorf","Oberkassel","(02 11) 57 36 92","http://www.schmitt-partner.de","","https://www.dasoertliche.de/?id=0184088714674393624946&recuid=FGTM4PTNTD2URRKBCSJA3TILFQNKEUUACEUC5CR5VMH6MBBKAI&action=58&pagePos=12&dar=2&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=276&hitno=22&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Sachverständige Auto Experts Tassone GmbH  ","","Kölner Str. 38-40","Düsseldorf","40211 Düsseldorf","(02 11) 97 30 90","http://www.auto-experts.de","info@auto-experts.de","https://www.dasoertliche.de/?id=0184088680955393019036&recuid=LNRI7YYHKAYTUAJTTHUMXP6PL2AOB3XR2VNO5Z5P3PFZJQCYAI&action=58&pagePos=12&dar=5&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=276&hitno=21&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Sturm & Partner Ing. Büro GbR  ","","Thomas-Mann-Str. 12","Düsseldorf","Mörsenbroich","0172 2 95 34 24","","","https://www.dasoertliche.de/?id=0184062947741389395069&recuid=I3KX2YCIC6DDFIBUJCSVHHTYIMC6GNVBOJEED3TB2ZFHYAQ&action=58&pagePos=13&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=301&hitno=24&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Sturm & Partner  ","","Thomas-Mann-Str. 12","Düsseldorf","Mörsenbroich","0172 2 15 30 37","","","https://www.dasoertliche.de/?id=0184062947706389395069&recuid=PY2UFD3GHBTAUQAMZ6OLHJUYPP4MNB4ZSJYK36HM5OVEIAQ&action=58&pagePos=13&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=301&hitno=23&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Sturm Norbert  ","","Heinrichstr. 153","Düsseldorf","Mörsenbroich","(02 11) 61 44 17","www.sturm-und-sept.com","","https://www.dasoertliche.de/?id=0184074898357389395069&recuid=P67Q77UNVPWAXSQNBLUF7IQSPJXLMSOWBB7EX5QY2UJZSHL4AI&action=58&pagePos=13&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=301&hitno=22&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"VGP Industriebau GmbH  ","","Prinz-Georg-Str. 78","Düsseldorf","Pempelfort","01522 2 65 66 85","http://www.vgp.cz","","https://www.dasoertliche.de/?id=0184086452696353715988&recuid=EUAZT3ZM3FLWEUIF3GLKBRVMECWMRZ7VQ6VAB4O67LF6OOYC&action=58&pagePos=14&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=326&hitno=24&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Vermessungs-Büro Ingenieur-Büro A. Schulte Tenderich Dipl.-Ing. Vermessungsbüro  ","","Martinstr. 47-55","Düsseldorf","Bilk","(02 11) 56 69 99 05","","","https://www.dasoertliche.de/?id=0184055968098329877721&recuid=CWSAKYNB6XZHBVTYI33XRQIJCASZWFGLHCNKLIKHTYQNLHQC&action=58&pagePos=14&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=326&hitno=23&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Verband Privater Bauherren e.V.  ","","Rolf-Bongs-Str. 6","Düsseldorf","Lörick","(02 11) 59 60 60","www.vpb.de","","https://www.dasoertliche.de/?id=0184066917190389395069&recuid=4SO2ZFNJQ7FYD34GLNRGIPJQ4EAV42CNFLSQSZZSIIYQEP7HAI&action=58&pagePos=14&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=326&hitno=22&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Mühlhans Andreas  ","","Hammfelddamm 6","Neuss","Hammfeld","(0 21 31) 17 09 22-0","http://www.a-muehlhans.de","","https://www.dasoertliche.de/?id=0184088476708392846134&recuid=LWQEZPKHZ7W2DSBRASSTZOINLACM2BPVHXJKDTKMWNLPK377UMBA&action=58&pagePos=15&dar=2&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=351&hitno=23&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Boesner GmbH  ","","Wiesenstr. 72","Düsseldorf","Heerdt","(02 11) 56 38 45-0","http://www.boesner.com","","https://www.dasoertliche.de/?id=0184088670753392846134&recuid=56WFKQ72NHXIBSM4BUFQICYB5IPB4LSMAXQUQ5RDN4CSADXMAI&action=58&pagePos=15&dar=2&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=351&hitno=22&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Zickler Udo Ingenieurbüro  ","","Löricker Str. 7","Düsseldorf","Lörick","0171 7 43 94 50","","","https://www.dasoertliche.de/?id=0184032981241329877721&recuid=QTWUN3POYK363DXPCRSQYTKAQE3VW73BJKFG6OZCCNY34AQ&action=58&pagePos=15&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=351&hitno=21&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"Zentes Gerhard Bauingenieur  ","","Mannesmannufer 5","Düsseldorf","Carlstadt","(02 11) 3 23 03 88","","","https://www.dasoertliche.de/?id=0184032980456329877721&recuid=QYJOR5KUEREOG7HS7JO7GT57QOTHF7JHXOEJQFWFCWE3YAQ&action=58&pagePos=15&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=351&hitno=20&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
"YUHA GmbH  ","","Jacobistr. 7","Düsseldorf","Stadtmitte","(02 11) 6 99 90 95-0","www.yuha.de","","https://www.dasoertliche.de/?id=0184074898375332454969&recuid=N4OOZO6NJFCTUVBO3P4PZMVRNK5MLR4LQDQB3XNP235PAJQC&action=58&pagePos=15&dar=1&kw=Ingenieurb%c3%bcro&form_name=detail&lastFormName=search_nat&ci=D%c3%bcsseldorf&recFrom=351&hitno=19&kgs=05111000&zvo_ok=0&radius=5&orderby=name&ttforderby=rel&buc=184&verlNr=102&page=78&context=11"
